bibtexkey,description
Burns2011,
Crawley2013,The R Book
Ellis2019,Programmieren
Faraway2002,Regression and ANOVA
Ligges2008,Programmieren
Logan2010,
Paradis2005,
Statistikstelle2020,Bevölkerungstatistiken Bonn
Statistikstelle2021,Bevölkerungstatistiken Bonn
Statistikstelle2022,Bevölkerungstatistiken Bonn
Wickham2015,R Packages
Xie2018,
Zuur2010,Data exploration
Dormann2008,
Knuth1984,Literate Programming
Leps2020a,
Spiegelhalter2020,Einführung in angewandte Statistiken
Koehler2012, Biostatistik
